car_id,target_reg
P17494612l,43.86401504784524
N-1530212S,33.400975223237474
B-1154399t,33.21268804492894
F12725233R,34.89818705203185
l-1139189J,33.92601042912739
U75286923j,44.87597830432343
T-7479831o,33.55806673043959
B-1369793u,33.43009491289814
Y-1289786X,54.51928932481759
C29045893T,33.601099550089764
v-1730983R,32.68841198351949
I20727212Q,48.19317721041148
p48812438h,46.655921380435274
T-2633971l,44.35062856181643
V-9683916q,48.0797809987195
P68488505Z,35.99242729100933
W23907639f,74.02978787222906
A22674788w,33.848944340279346
y-1252277z,45.14403026838209
u21168983D,43.36387983035374
x12753662A,44.19309020306715
v-7435255a,43.08743706459053
E12421362P,39.01639619720458
J35738918W,33.79815520709181
T16973122B,46.151696136203554
p-5671458M,51.80215979320316
I68086031c,68.80778566627815
D69722395r,51.68254540059227
X10967418c,69.41924367086942
q-1489273f,38.902600170533304
C-1903701S,65.21294724966542
r11820515d,42.28041215989642
x12397432S,38.624265440725864
Q50389908q,59.241797034314175
B18597537S,33.454541792497245
S-9537522o,67.20752735809688
a10623296X,42.138060921721426
R28123139u,38.60734338328778
h-1451730v,34.497944148418405
d-1257449w,39.43251477006089
N11419190t,33.3723422765663
k63904133P,72.19317509397086
J92413639E,40.49460960624182
b-3875784F,67.64910150499033
f15183722K,33.72902443464389
c-1874297z,72.99107100522775
E16971328N,38.40315399294002
H18110876A,67.71477887395325
P-1301418D,50.301246959150056
b-9697936F,33.14179722167677
H-4258275m,33.91347892958697
H10655858l,34.87992703644806
w-1481290E,40.13797576205721
C40885722w,32.974591913952054
f15625319Q,51.970369531785686
B42019578p,43.86401504784524
T65731704H,48.657148377004326
e30424190o,70.07577213903245
w-1081221i,48.07038952868034
E48110445u,33.23571568831683
u73256394H,51.3558433783107
m17237645h,36.772308107280104
q-1403429B,74.17168923839192
E-1889080W,48.01165736939408
b-1781291I,47.535095442338296
P77959737c,48.74711100747344
h17474551u,77.50318327330349
d17705773B,65.71373536597325
s-2080909j,52.65142149645668
N18448941g,32.974591913952054
P17953716g,49.11729667169652
i94781425U,41.28192506605511
L-2155385D,54.039934203972535
Q21449479D,32.38387536054227
z-1790906x,47.49143794550071
C-4338027c,78.75889586860973
F13621020y,34.57547928348918
P-1981563m,71.03683911662664
B20284663C,70.35620624832825
X-5672837D,33.30012871996114
f-8313064a,33.6866898991499
S16867324D,44.81373283864317
l81011564d,53.20819008015284
T-7878324V,32.62349283430115
X49290901c,34.89818705203185
N15373595s,47.27652409261283
g-1912309G,31.29846915144414
G23848056z,43.53701433749599
w-3530598y,34.89818705203185
s-4092655x,72.24319962890208
v60921451s,44.90835658304958
A-5309696c,70.17332836864539
a21437857o,33.3723422765663
r-2049651S,39.92006790853263
c48174687o,71.87318035081191
n57986901A,41.57527833853436
J43552505w,33.043082342871145
X69815445k,48.64877307291688
Y31463755z,45.79892295487179
C-1846243L,33.80708610571241
z10378875g,34.369972330876955
B-1843237q,33.247519166904816
I-8201538D,33.6866898991499
k-7853395L,51.751881733162556
H-3154020d,40.739091384683334
v11532085a,38.67048536112852
o-1004837T,44.15158411240932
E15850759P,75.5913991863455
S11046237d,33.19827789414581
i19615927E,34.33068458947296
